N,power,time_elapsed
16,0,6.67
16,0,7.67
16,0,7.19
16,0,7.2
16,0,7.78
16,0,8.42
16,0,8.2
16,0,6.83
16,0,6.93
16,0,6.93
16,0,6.89
16,0,6.44
16,0,7.05
16,0,7.04
16,0,7.06
16,0,7.06
16,0,7.21
16,413,7.27
16,0,7.2
16,0,7.22
16,0,7.43
16,0,7.53
16,0,7.47
16,0,7.51
16,0,7.45
16,0,7.76
16,0,7.74
16,0,7.75
16,0,7.75
16,0,8.22
16,0,8.25
16,0,9.48
16,0,8.23
16,0,9.07
16,0,8.83
16,0,9.25
16,0,8.0
16,0,7.96
16,0,7.5
16,0,7.35
16,0,7.36
16,0,7.12
16,0,7.3
16,0,7.03
16,0,6.78
16,285,7.02
16,149,6.73
16,0,7.17
16,0,6.97
16,0,7.07
16,0,7.06
16,0,7.13
16,0,7.39
16,0,7.21
16,0,7.55
16,0,7.3
16,0,7.28
16,0,7.46
16,0,7.15
16,0,7.06
16,0,7.25
16,0,7.3
16,0,7.31
16,0,7.23
16,0,7.46
16,0,7.46
16,0,7.5
16,0,7.48
16,0,7.49
16,0,7.8
16,0,7.88
16,0,7.82
16,0,7.85
16,0,7.86
16,0,7.92
16,0,7.88
16,0,7.85
16,0,7.83
16,0,8.15
16,0,7.81
16,0,7.93
16,0,7.92
16,0,7.86
16,381,7.88
16,0,7.87
16,0,7.98
16,0,7.81
16,0,7.86
16,0,7.67
16,0,7.85
16,0,7.52
16,0,7.62
16,0,7.39
16,0,7.63
16,136,7.33
16,0,7.35
16,0,7.42
16,0,7.2
16,0,7.29
16,0,7.23
16,0,7.26
16,0,7.32
16,0,7.39
16,0,7.3
16,0,7.14
16,0,6.81
16,0,6.69
16,0,6.71
16,0,6.7
16,0,6.77
16,0,6.7
16,0,6.78
16,0,6.78
16,0,6.8
16,0,6.83
16,0,6.91
16,0,6.89
16,0,6.93
16,0,7.07
16,0,7.07
16,0,7.07
16,0,7.02
16,0,7.18
16,0,7.2
16,0,7.22
16,0,7.18
16,0,7.32
16,0,7.39
16,0,7.27
16,0,7.03
16,0,6.91
16,0,6.92
16,0,6.84
16,0,6.81
16,0,6.79
16,0,6.82
16,0,6.96
16,0,6.94
16,0,6.89
16,0,6.92
16,0,7.01
16,0,7.02
16,0,7.03
16,0,7.03
16,0,7.19
16,0,7.31
16,0,7.25
16,0,7.44
16,0,7.44
16,0,7.45
16,0,7.45
16,0,7.42
16,0,7.73
16,0,7.77
16,0,7.77
16,0,8.03
16,0,8.37
16,0,9.02
16,0,9.15
16,0,8.41
16,0,8.6
16,0,8.13
16,0,8.33
16,0,8.07
16,0,8.08
16,0,8.32
16,0,8.31
16,0,8.44
16,0,8.54
16,0,8.37
16,0,8.23
16,0,8.42
16,0,8.98
16,0,8.54
16,0,8.28
16,0,8.12
16,0,8.46
16,0,8.26
16,0,8.15
16,0,8.27
16,0,8.36
16,0,8.51
16,0,8.48
16,0,8.31
16,0,9.1
16,0,8.24
16,0,8.25
16,0,8.32
16,0,8.37
16,0,8.16
16,0,9.11
16,0,8.08
16,0,9.17
16,0,8.1
16,344,8.72
16,0,9.37
16,0,8.22
16,0,8.09
16,0,8.34
16,0,7.92
16,0,8.91
16,0,8.32
16,0,8.92
16,0,7.78
16,0,8.44
16,118,8.48
16,0,8.06
16,0,7.52
16,0,7.52
