Fri Jan  3 00:09:03 -03 2025,CPU Power,2398 mW
Fri Jan  3 00:09:03 -03 2025,GPU Power,17265 mW
Fri Jan  3 00:09:03 -03 2025,CPU Power,3881 mW
Fri Jan  3 00:09:03 -03 2025,GPU Power,14662 mW
Fri Jan  3 00:09:03 -03 2025,CPU Power,4572 mW
Fri Jan  3 00:09:03 -03 2025,GPU Power,0 mW
Fri Jan  3 00:09:03 -03 2025,CPU Power,4326 mW
Fri Jan  3 00:09:03 -03 2025,GPU Power,13176 mW
00:11:41.3N,CPU Power,1665 mW
00:11:41.3N,GPU Power,17128 mW
00:11:42.3N,CPU Power,3924 mW
00:11:42.3N,GPU Power,14822 mW
00:11:42.3N,CPU Power,4460 mW
00:11:42.3N,GPU Power,0 mW
00:11:42.3N,CPU Power,4622 mW
00:11:42.3N,GPU Power,14287 mW
,CPU Power,1642 mW
,GPU Power,0 mW
,CPU Power,3856 mW
,GPU Power,16871 mW
,CPU Power,6906 mW
,GPU Power,13603 mW
,CPU Power,6205 mW
,GPU Power,0 mW
,CPU Power,5651 mW
,GPU Power,11302 mW
,CPU Power,4880 mW
,GPU Power,12201 mW
,CPU Power,7209 mW
,GPU Power,0 mW
,CPU Power,4915 mW
,GPU Power,10508 mW
,CPU Power,5014 mW
,GPU Power,11513 mW
,CPU Power,6713 mW
,GPU Power,10523 mW
,CPU Power,4261 mW
,GPU Power,0 mW
,CPU Power,5305 mW
,GPU Power,12182 mW
,CPU Power,4010 mW
,GPU Power,0 mW
,CPU Power,6220 mW
,GPU Power,14514 mW
,CPU Power,6311 mW
,GPU Power,10693 mW
,CPU Power,6457 mW
,GPU Power,11121 mW
,CPU Power,5665 mW
,GPU Power,0 mW
,CPU Power,5479 mW
,GPU Power,12718 mW
,CPU Power,6678 mW
,GPU Power,12767 mW
,CPU Power,5379 mW
,GPU Power,0 mW
,CPU Power,5215 mW
,GPU Power,11782 mW
,CPU Power,6654 mW
,GPU Power,12502 mW
,CPU Power,4632 mW
,GPU Power,0 mW
,CPU Power,6383 mW
,GPU Power,13404 mW
,CPU Power,5389 mW
,GPU Power,0 mW
,CPU Power,6236 mW
,GPU Power,11868 mW
00:16:54.262,CPU Power,2148 mW
00:16:54.264,GPU Power,17182 mW
00:16:54.347,CPU Power,1115 mW
00:16:54.349,GPU Power,0 mW
00:16:54.430,CPU Power,1452 mW
00:16:54.432,GPU Power,17908 mW
00:16:54.514,CPU Power,1350 mW
00:16:54.516,GPU Power,0 mW
00:16:54.597,CPU Power,1149 mW
